Price,Close,High,Low,Open,Volume
Ticker,ORCL,ORCL,ORCL,ORCL,ORCL
Date,,,,,
2023-01-17,86.33089447021484,87.14938538560055,86.16525006574417,86.90578804937873,6550400
2023-01-18,84.48930358886719,86.36012944400365,84.38212016064573,86.33089895157981,6397700
2023-01-19,83.739013671875,84.76211791356539,83.0764286912565,84.1872318302346,5597000
2023-01-20,85.01545715332031,85.14212507226593,83.31027606428523,83.82670114752449,5567300
2023-01-23,86.69140625,86.84730465260948,84.74262789638507,84.95699470472263,7390200
2023-01-24,87.40271759033203,87.7924747987104,85.74625874722446,86.76937048996764,7004600
2023-01-25,87.34425354003906,87.55862036881027,85.49291244083338,86.42832524765305,5896800
2023-01-26,87.52938842773438,88.17248146937662,86.8083350276506,87.58784940406548,7302800
2023-01-27,86.71089935302734,87.4222067935258,86.68166886426717,87.20783996395092,5676800
2023-01-30,85.1129150390625,86.3503937755188,84.76213425030335,86.20423387453559,6255300
2023-01-31,86.19447326660156,86.21396521489116,85.1129005905325,85.44419680545461,6200400
2023-02-01,87.74376678466797,88.32839892681436,85.95088645688456,86.10679232625748,6141300
2023-02-02,87.09090423583984,88.88378423396793,86.67191658144031,88.338128659494,8269200
2023-02-03,87.32477569580078,87.94838428131415,86.00934413404534,86.20422646326872,5671800
2023-02-06,86.26268005371094,87.3150222393462,86.1360121260697,87.2175848000837,4097200
2023-02-07,85.49291229248047,85.76574009807943,84.08979680168582,85.6195876550801,9226000
2023-02-08,84.46981811523438,85.66831289504435,84.2944277286767,84.70366948597761,7624400
2023-02-09,84.43083190917969,85.64881849923133,84.11902763948648,84.90828057095989,4960300
2023-02-10,84.90827941894531,85.14213075954234,84.12876503828845,84.31390137634448,5318400
2023-02-13,87.12989044189453,87.15912093179668,84.9667449811299,85.04469791020261,5560900
2023-02-14,86.80833435058594,87.12014604591994,85.46367986745798,86.72064288677323,7484800
2023-02-15,86.07755279541016,86.92527421781807,85.77549447163301,86.57449345227003,4329900
2023-02-16,85.47341918945312,86.00932877260122,84.78160377077144,85.22007592371072,5942500
2023-02-17,85.04468536376953,85.19084522571815,84.29440897563244,84.96673244619703,6398400
2023-02-21,83.99234008789062,84.71339339704635,83.9436250917579,84.53800305617051,5260300
2023-02-22,84.10928344726562,84.94725883369532,83.77799465607266,84.46006418735249,5840100
2023-02-23,86.31140899658203,87.18836088405025,84.83033304574666,84.91803195149382,8637100
2023-02-24,86.38935852050781,86.61346389546675,84.90828262808203,85.07392702418218,7659200
2023-02-27,85.70726776123047,86.69140287298947,85.12263576471986,86.58421947299595,6748800
2023-02-28,85.16162872314453,85.75600680772922,84.9472618816221,85.45394106103825,7468000
2023-03-01,84.12877655029297,84.97649799770771,83.78774174983914,84.6744396650202,5119800
2023-03-02,84.74264526367188,85.04470359150666,83.67081843632174,83.85594736273613,5293600
2023-03-03,86.96424865722656,87.00322512293454,84.84982557207377,85.08367693232091,5498500
2023-03-06,87.44168090820312,88.34786312199326,86.86679487362623,87.12013813608351,7424800
2023-03-07,86.09703063964844,87.77298125956911,85.7949723653603,87.28578665768518,5382400
2023-03-08,86.22369384765625,86.8083258511661,85.8924051048004,86.13600239242943,5159200
2023-03-09,84.64519500732422,87.34424990094473,84.31389880375355,86.06780238971623,10572300
2023-03-10,81.91691589355469,83.06669567355158,80.75739013811685,82.2482121525374,16029300
2023-03-13,82.7548828125,83.33951490051548,79.93889835519184,81.1861154586916,10299800
2023-03-14,82.39435577392578,83.72927177407014,81.29329855526676,83.72927177407014,8732200
2023-03-15,80.85482788085938,81.23483911547002,80.01685248299987,80.95226532465689,11463000
2023-03-16,82.647705078125,82.93027888412742,79.97788031775855,80.79636381045451,10148100
2023-03-17,83.07643127441406,83.77799273853019,82.44307676186479,82.82308798259432,13065800
2023-03-20,84.7328872680664,85.26880432271606,83.06668256270102,83.0959130504092,9177300
2023-03-21,85.33702087402344,85.60010272699851,84.44058445810742,85.24932196703124,6683700
2023-03-22,85.6488265991211,86.87655927952103,85.2006083836737,85.29804583329255,7233700
2023-03-23,85.5318832397461,87.34424775606878,85.3954693457433,86.37960452447757,10747100
2023-03-24,85.75601196289062,86.213976163855,85.26881726977979,85.72678147074414,5852100
2023-03-27,87.83145141601562,88.18223216076744,86.28217598836214,86.35038294239719,8170100
2023-03-28,87.54888153076172,88.55250137090522,87.1883622293514,87.90940826617282,6378900
2023-03-29,88.29915618896484,88.3381326509026,87.50989584422548,87.82170010572746,5233600
2023-03-30,88.19197845458984,88.84481750757432,87.41246403365284,88.52326725138776,5640700
2023-03-31,90.54024505615234,90.6181979783582,88.09453345244212,88.24068588907832,10476300
2023-04-03,91.5146484375,91.59260137176386,89.73151409471926,90.01408790592502,8410900
2023-04-04,91.59259033203125,91.61207484624823,90.54999412242026,91.44643045640352,6651500
2023-04-05,92.45979309082031,92.67415991005076,91.0859081473885,91.22232204435336,7478800
2023-04-06,93.46341705322266,93.61932290484113,91.58284546357586,91.91414168126502,9146200
2023-04-10,91.7413101196289,93.06224256260622,91.53583240317737,92.64150034364437,8681500
2023-04-11,91.94678497314453,92.10333621955813,91.19335923781773,91.44776341151135,8196000
2023-04-12,91.87831115722656,93.26773641269999,91.58476724572913,92.34797245746434,8040300
2023-04-13,93.4927749633789,93.68846590087935,91.9174382815688,92.1522688995955,6240200
2023-04-14,93.6493148803711,93.923285145749,92.64149249053241,93.44383718133767,6485100
2023-04-17,93.53190612792969,93.92329546366403,93.25793583245486,93.58083259432048,4772400
2023-04-18,94.3929672241211,94.65715074186859,93.70803399806638,93.93308529958759,7219400
2023-04-19,93.7471694946289,94.39296301049873,93.53190498933897,93.53190498933897,4766200
2023-04-20,92.78826904296875,94.07984854792534,92.56321776223629,93.93307662267637,5815500
2023-04-21,93.10139465332031,93.25794592547871,92.23055720625693,92.9644094907574,7335800
2023-04-24,93.38513946533203,94.01135940174433,92.92525756653197,93.28728653484909,4901700
2023-04-25,92.03485107421875,93.63954067134615,91.9957113931753,93.09160006699948,5768800
2023-04-26,91.69237518310547,92.76869013108701,91.33033878368349,91.73151485859404,6395500
2023-04-27,92.9937515258789,93.04267052671956,91.28142972871339,92.27946543440383,5615700
2023-04-28,92.6806411743164,93.34600079710162,92.21097248435542,92.24032537776601,8498500
2023-05-01,92.82740783691406,93.6688922375243,92.66106234181285,92.75891526780067,5459800
2023-05-02,92.75892639160156,93.18944796403018,91.82937573915508,92.88612475945735,5995100
2023-05-03,92.73934936523438,93.36556932466223,92.50451874673162,93.02310645077681,6744800
2023-05-04,92.92526245117188,93.0720343894809,92.3773218442911,92.93504923776072,5038200
2023-05-05,94.8822021484375,95.2148782426457,92.78827771685974,92.95461576396383,8062700
2023-05-08,94.7060775756836,95.1855256101823,94.36361469389881,94.98983466777126,5314800
2023-05-09,94.070068359375,94.80392057195498,94.03092867888837,94.12877414753956,6333500
2023-05-10,95.42034912109375,95.57690783545682,94.18748283857123,94.70607051592076,5935300
2023-05-11,95.34209442138672,95.52799859680265,94.2657717288811,95.43993990294221,5144500
2023-05-12,95.74325561523438,95.8117481934567,94.84306531141772,95.5084249849194,4994700
2023-05-15,95.16595458984375,95.85088031805972,94.96047687137896,95.76282163805934,4443700
2023-05-16,96.1346435546875,96.72172385436168,94.83327712257021,95.07789453619537,6896500
2023-05-17,97.62190246582031,98.23834305209137,96.310756868912,96.65321971399027,9436000
2023-05-18,100.13658142089844,100.25400046754534,97.5827824762251,97.62191469330968,10005700
2023-05-19,100.62580871582031,100.85086000542512,99.7256184876621,100.18550038784502,8558900
2023-05-22,99.57884979248047,100.88021617674812,99.53971757705459,100.27356979094722,5890500
2023-05-23,96.41838836669922,99.24616471073962,96.3498957982153,98.89391508278517,10047300
2023-05-24,96.20313262939453,96.75107322712388,95.195310116372,95.84109618296291,6815900
2023-05-25,102.04460144042969,102.40663790102393,96.64344475246499,97.06418700364654,16729600
2023-05-26,101.83912658691406,103.94283790228714,101.79020011662094,102.10331011715567,13994100
2023-05-30,102.88607788085938,103.69820942429195,101.94674797941093,102.64146048573852,10296700
2023-05-31,103.65907287597656,104.19722668241754,101.90761137819777,102.22072135480383,13713500
2023-06-01,103.70799255371094,104.31464640333601,102.52404521366309,102.62189068227855,7835900
2023-06-02,103.61013793945312,104.47118843844754,103.47315280245697,104.22657105593582,8651600
2023-06-05,104.62775421142578,105.28332704919302,103.25789528383548,103.61014493564815,7442000
