Price,Close,High,Low,Open,Volume
Ticker,EQIX,EQIX,EQIX,EQIX,EQIX
Date,,,,,
2023-01-17,689.9525146484375,695.8430610045708,685.1478313987966,689.8468256931659,376500
2023-01-18,675.2310180664062,690.1159187108191,672.0791760733644,687.1850733985822,447800
2023-01-19,675.3078002929688,682.1976991487825,672.9342564420759,674.8369507529512,289900
2023-01-20,691.9320678710938,692.6239727835884,666.1020850557575,674.2892843899076,355900
2023-01-23,688.338134765625,695.9103201122841,683.8024833674468,688.530333822067,290100
2023-01-24,691.5093383789062,702.1372970878218,686.6566192476532,688.2229509306472,248600
2023-01-25,691.6535034179688,693.7771362220055,678.623202678507,683.4182679548776,378800
2023-01-26,700.7053833007812,702.5311863574318,692.2011175889853,692.7392397555375,359200
2023-01-27,701.6952514648438,705.8849805443992,697.2557280806782,697.2557280806782,268400
2023-01-30,696.5445556640625,708.8926273322282,694.709192390916,697.6784539211725,234400
2023-01-31,709.2962036132812,713.6588350711284,692.431776435594,694.613062839057,542700
2023-02-01,709.2962036132812,713.9759606010557,691.8840354842363,704.3665937019836,414000
2023-02-02,723.5661010742188,732.7238560216613,713.7645936078628,715.4173765873616,442500
2023-02-03,704.3666381835938,715.1002852654423,696.275567165872,712.3616389866263,425800
2023-02-06,695.5548706054688,699.5811979712308,689.0396912277891,693.3639066427685,251100
2023-02-07,697.1403198242188,700.7823073570385,687.7423896464073,691.7110628040307,346600
2023-02-08,702.43505859375,704.1743515500293,695.3913766654288,697.1402883721661,264000
2023-02-09,704.0783081054688,717.5410402031654,702.1564347702011,712.0829269691158,348800
2023-02-10,701.2434692382812,703.4728491419379,695.3529233109485,701.1185427908111,279500
2023-02-13,710.0072021484375,712.4095435848218,704.9622851320304,706.2114909487675,247700
2023-02-14,699.9654541015625,711.5255500862999,692.5854677105755,705.3274969996479,336500
2023-02-15,698.8412475585938,700.484470506306,687.9730553224545,689.5009705528806,383400
2023-02-16,693.9788208007812,699.3600424190595,655.9065165614419,680.1028936448103,669500
2023-02-17,688.7609252929688,690.5002181891261,678.632616014546,687.3867929960855,428000
2023-02-21,675.6537475585938,684.1195967845908,670.8874808373073,683.5814746266163,463600
2023-02-22,671.1854248046875,679.0170823246443,666.7267231172417,677.5084046762818,354500
2023-02-23,678.728759765625,680.8716296576872,672.3577452896245,679.3821896284305,227000
2023-02-24,658.0493774414062,674.5871175797474,656.7328989804931,674.5871175797474,286200
2023-02-27,666.1212768554688,671.992585528694,660.8553042941285,670.0610935379377,458400
2023-02-28,661.3839721679688,674.2124546396971,661.3070808037943,665.5447861704621,572900
2023-03-01,649.5739135742188,660.2691427802897,644.9518108068386,658.0590002982364,443000
2023-03-02,661.0956420898438,661.4416239020537,636.6878833007867,639.7244176902681,471000
2023-03-03,677.8543090820312,679.6513146098108,661.3838991692863,661.4895881265322,403000
2023-03-06,675.372802734375,683.570776169631,674.3203267487042,678.3372158603271,179600
2023-03-07,661.9798583984375,678.8490006726485,660.2611129318956,677.6226640245737,275800
2023-03-08,670.1488647460938,680.3069841733906,662.8102350663697,663.6503062800382,366900
2023-03-09,659.3919067382812,671.6936967927627,656.0895563458031,668.11128341838,428600
2023-03-10,642.7352905273438,661.236245735507,640.5047466199945,660.0292401809713,477100
2023-03-13,659.21826171875,670.3227144420739,641.7407833753268,641.7407833753268,435800
2023-03-14,667.6864624023438,672.7269481394422,658.571213223243,669.0093946834387,500800
2023-03-15,671.08544921875,674.7547344615637,662.1439422896519,662.8295426884641,492100
2023-03-16,678.4143676757812,681.832586094452,663.9882353309652,667.3581853159579,531400
2023-03-17,667.0877685546875,682.7305714433776,666.276693871998,680.0944903209144,841400
2023-03-20,665.7360229492188,669.3763117757268,659.9713335359847,666.8754291674725,429100
2023-03-21,664.2779541015625,668.459038038328,652.4589645933804,668.459038038328,501100
2023-03-22,640.2247924804688,659.0154187000702,639.5874604939091,657.6346113102879,513200
2023-03-23,643.4498291015625,658.7256984890548,639.0466751911517,640.1957468377805,385500
2023-03-24,658.2525024414062,658.2525024414062,638.9017533938795,643.4497711356092,367000
2023-03-27,663.9688720703125,669.8107667206448,661.6803944286713,662.9743302160067,356800
2023-03-28,659.5560913085938,664.8765811249106,654.9598048116852,661.4293662522291,284600
2023-03-29,670.6219482421875,673.0745622999236,662.8777817833019,667.8023997828302,414200
2023-03-30,677.8639526367188,678.7908951395583,672.2247970225783,672.2247970225783,386900
2023-03-31,696.2393798828125,698.0161179221153,678.3950293143325,679.9883001590108,614200
2023-04-03,685.5308837890625,693.5550543259685,681.2532631932595,689.6829710928323,519300
2023-04-04,686.042724609375,690.764545160294,676.4156752153374,681.9196331202997,421100
2023-04-05,679.6117553710938,693.6902852575065,679.0999567051014,685.5791840131634,455700
2023-04-06,686.7669677734375,687.2304980760068,673.953434304509,681.012001850323,272700
2023-04-10,681.9484252929688,682.4215620076287,669.4728332531167,680.5579526336548,310400
2023-04-11,682.228515625,689.9243545234242,678.5109032657283,680.1331116106442,410000
2023-04-12,686.5833740234375,694.8006774077917,684.2369622579292,688.8622453402664,304500
2023-04-13,684.33349609375,691.4789330892042,677.7384017271387,688.3407188783849,322900
2023-04-14,664.9925537109375,686.293788344383,660.8887342543993,682.1996343633571,354800
2023-04-17,683.5900268554688,684.1597594212009,661.4969919960781,662.1342650107943,336400
2023-04-18,681.2918701171875,684.5073494222956,676.2610497399199,684.5073494222956,336300
2023-04-19,682.643798828125,686.5158234821288,673.9533580698062,674.9189625985083,211300
2023-04-20,680.7705078125,685.3184673177219,675.3438152025861,679.4669063676523,269300
2023-04-21,688.47607421875,692.4157574568441,679.177297281266,681.5719778103881,251900
2023-04-24,688.5049438476562,689.6829529439619,682.4699162580171,685.3184021316737,276900
2023-04-25,685.646728515625,688.6497440775212,679.3027004878119,681.9387816600946,418900
2023-04-26,682.4409790039062,694.6462340039818,678.8199621361813,682.3347766537169,398400
2023-04-27,695.0807495117188,696.1235599083718,683.6769630473588,684.8743031636922,370800
2023-04-28,699.1749267578125,700.5846716167417,688.4760123361684,690.4844862093896,370200
2023-05-01,697.1761474609375,699.9377623170034,691.9521938647111,698.0451561905609,280300
2023-05-02,678.984130859375,697.8616879117732,678.8585975537601,696.1236115193362,324000
2023-05-03,673.6346435546875,684.7487603092846,671.2882317912408,682.6726871477753,377800
2023-05-04,704.2540283203125,708.2515862519442,676.8887702229055,679.2255166651538,597700
2023-05-05,714.5473022460938,716.7199122867069,702.303444733959,709.7192799336202,431300
2023-05-08,714.6632080078125,719.3077633615563,708.995114226918,711.2449892460047,280200
2023-05-09,703.2111206054688,711.7180936269642,700.8357123928685,708.4736767530367,382100
2023-05-10,724.4833374023438,726.7428777340945,702.3227625510896,704.2635779783277,378700
2023-05-11,717.8689575195312,725.622730421211,713.6686018366818,723.3439181182357,572700
2023-05-12,713.8037109375,721.35474430339,708.0873494781385,718.4193281887589,300700
2023-05-15,714.79833984375,718.206892811479,710.163450398931,715.3584069113099,328000
2023-05-16,691.65283203125,712.8092598121003,690.8610292621478,712.8092598121003,420100
2023-05-17,703.0952758789062,704.7078188944089,691.1024255362782,694.5110377158263,336000
2023-05-18,696.3746337890625,701.434391848881,691.8846083058207,698.3734421406297,394100
2023-05-19,698.6920776367188,704.1767037870706,695.283465672182,696.751203281367,351600
2023-05-22,701.7240600585938,710.5014307215873,695.5731642302303,698.8465775650229,401500
2023-05-23,676.014892578125,703.9456828533389,671.600691404387,695.9418900212755,495200
2023-05-24,655.0303955078125,673.5118688538975,652.799046934048,671.7753096727603,492900
2023-05-25,686.1531372070312,690.9360033300798,661.1036804533655,663.5678575139013,840500
2023-05-26,707.3898315429688,715.7040229422269,691.2366976595615,691.2366976595615,705200
2023-05-30,712.58984375,730.4892476260468,708.447255480095,716.5189667438472,728400
2023-05-31,723.3003540039062,724.6973820941606,710.4846212174887,715.1413617804473,1292000
2023-06-01,730.7803344726562,732.8758471462995,718.2167918321492,720.9332190808248,512500
2023-06-02,735.0004272460938,739.9288400226492,716.8294106108602,731.8765509927752,527700
2023-06-05,730.605712890625,737.9594589353217,726.6959524925314,734.7191683236953,369600
2023-06-06,720.0794677734375,732.3810489782028,718.7406466429399,732.3810489782028,392100
2023-06-07,716.8973388671875,720.5839226570309,704.3240861296877,720.0794222010412,392800
2023-06-08,727.9085693359375,728.1220346037325,714.258457289362,716.897314337707,259900
2023-06-09,721.4959716796875,733.1572763131209,720.1959354078681,730.9550012495131,320200
2023-06-12,731.3817749023438,731.8571422353157,720.0018551813827,721.6704963676244,368300
2023-06-13,734.0110473632812,736.9603030719323,727.297518868583,730.9744514781438,469100
2023-06-14,752.6282348632812,754.9565755441309,734.7773269084212,737.3191328662085,570000
2023-06-15,756.3438720703125,760.1080849098835,744.886323487761,749.436360908014,403500
2023-06-16,755.3738403320312,768.3933884024534,755.0245980636441,761.3597509646617,904600
2023-06-20,756.9551391601562,758.1872572559291,743.7901041567302,755.4222748221481,735100
2023-06-21,745.0804443359375,759.9335430126812,715.5197941922039,750.4163068930308,911100
2023-06-22,724.6973266601562,736.1258007374931,715.2382990596398,734.9906747915928,666000
2023-06-23,723.8436279296875,730.1884908785077,720.9720018884939,723.8145540187211,789400
2023-06-26,737.2609252929688,740.3557277037937,725.6093332144678,729.0436668033981,340600
2023-06-27,742.38330078125,744.2751182379865,731.2071355730486,731.2071355730486,416000
2023-06-28,746.2445678710938,750.3870968390826,741.6266123663622,745.6624383054296,479800
2023-06-29,753.8409423828125,753.8603052528904,738.6773873513947,741.384103419065,367000
2023-06-30,760.544677734375,763.4939329094208,748.7475978205235,761.1849551292747,813000
2023-07-03,759.9820556640625,765.7254268488455,748.6700528491731,749.9991629963331,252900
2023-07-05,766.540283203125,769.5768787128266,759.5939865952006,762.1066595381177,399900
2023-07-06,758.0222778320312,762.7372252810286,748.1945855190921,759.8170440789746,462300
2023-07-07,749.2617797851562,759.787957154145,748.5729471549939,755.5095918118324,252100
2023-07-10,760.0693359375,760.4477112903942,748.3013295394586,749.0968651992604,313400
2023-07-11,763.6395263671875,765.2985158113405,757.1685970940146,761.3402594893469,341100
2023-07-12,767.2775268554688,772.7200916689262,757.1005926630789,770.7700672500479,499000
2023-07-13,777.5224609375,778.5799578936917,760.738760296152,767.4813618362489,362800
2023-07-14,781.6843872070312,782.673966050505,774.7478019019375,776.1641928746452,333800
2023-07-17,783.4694213867188,787.7574972460901,778.4730908999265,780.1805760965079,358000
2023-07-18,772.2350463867188,782.1694418322114,768.4223375417397,780.8112579377995,469000
2023-07-19,788.4754638671875,791.8613013963428,778.5604904633419,778.5604904633419,363200
2023-07-20,786.32177734375,787.7575904226755,772.2060081072843,782.0724859312684,358400
2023-07-21,783.0328369140625,790.2895897661049,782.062680256253,786.0112249591771,312000
2023-07-24,794.6553955078125,795.0919779019287,779.2590121328352,782.198615601369,329500
2023-07-25,792.1038208007812,795.2180451576253,788.2523270836217,792.1232428833596,297100
2023-07-26,788.7666015625,793.8307915719644,782.7224845095552,793.8307915719644,259500
2023-07-27,772.312744140625,797.109950005794,771.0612631640616,795.5285896575516,416200
2023-07-28,773.5641479492188,790.6777266991152,773.2440388654998,784.4202040131802,394000
2023-07-31,785.7493896484375,786.8359605422402,771.5172057771489,774.5732234245143,431900
2023-08-01,781.1314086914062,785.7493644488021,779.2784352914448,780.9180026218871,298900
2023-08-02,781.5873413085938,788.2620240934408,774.8641625318304,778.2597109572865,386100
2023-08-03,736.7565307617188,745.701408102157,718.1683507544479,729.5676942419294,910900
2023-08-04,735.262451171875,751.3185346060915,730.3728821446381,735.3788652524992,418700
2023-08-07,751.163330078125,754.5491678611511,735.3885709184663,735.8251533244518,296600
2023-08-08,751.3767700195312,753.1618846792998,743.1013628720227,749.3782492751175,270400
2023-08-09,751.3767700195312,753.2685877216225,744.0715197229747,751.260355934511,260700
2023-08-10,750.9885864257812,763.6684817192993,748.9900660975278,756.896807258126,227400
2023-08-11,751.0662841796875,752.5215194008136,738.9684571306212,743.8871592836686,252800
2023-08-14,747.1953125,756.5185045799894,744.420678428967,746.3512808714946,406900
2023-08-15,737.5034790039062,746.5065030585287,737.0086895759127,742.1699307094937,344300
2023-08-16,731.2556762695312,740.4527436376211,730.7705978773126,737.5034883298536,290600
2023-08-17,731.343017578125,737.8721537992255,730.8870130976173,733.0601548239686,295100
2023-08-18,727.3944091796875,733.5548805499967,722.6309066147026,722.6309066147026,289600
2023-08-21,723.4847412109375,729.8878117842268,716.5093112705478,726.9773413091881,266500
2023-08-22,733.7473754882812,737.5581469109056,725.4534065532858,728.6891299389694,222100
2023-08-23,740.8912963867188,744.9846841962319,738.3183029652332,740.209055170854,311300
2023-08-24,745.735107421875,764.8765274486296,742.6748667829444,751.8459520201075,471000
2023-08-25,751.348876953125,755.3740346858358,743.396058510195,743.396058510195,243400
2023-08-28,758.7266845703125,766.7672441487607,755.3545606846067,756.8067249574308,411000
2023-08-29,770.51953125,771.3479287351737,756.0269771992774,758.2880871238027,387100
2023-08-30,772.4200439453125,778.2190052820889,769.3013288100145,774.028179769064,330900
2023-08-31,761.5433349609375,771.8937233101054,760.422505886609,768.5605625245279,545900
2023-09-01,757.7813110351562,771.5526009776147,756.1342122678814,768.355840973521,234800
