Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2023-01-17,133.49447631835938,135.32416637793318,133.3289686073976,134.625391896296,2986500
2023-01-18,129.0995330810547,133.0255609533482,128.93402535583706,132.76811696269436,6445600
2023-01-19,129.29258728027344,130.77289699200185,128.4926731604597,128.72253482979863,4833900
2023-01-20,129.8258819580078,130.43272019724853,129.1914614378602,130.25802306507518,7153300
2023-01-23,130.4327392578125,131.47171875595006,129.69717892363494,130.0097875060253,5898400
2023-01-24,130.092529296875,131.25102718316123,128.72254855091117,129.87185702011575,4407600
2023-01-25,129.4213409423828,129.66959553435333,128.13412089076962,129.15470751370805,7347500
2023-01-26,123.61962127685547,127.13191483887411,122.26803333855459,126.45151914616949,17548500
2023-01-27,123.56446075439453,124.5758578942469,122.9944082008298,123.61043590250517,8143100
2023-01-30,124.40116882324219,125.14591857017669,123.18749217664791,123.5001147863032,5375700
2023-01-31,123.87706756591797,124.72295696656361,122.98520301781049,124.58504555382338,7206400
2023-02-01,124.20806121826172,124.85167115354066,122.10253428078254,123.65640157215593,5428900
2023-02-02,125.4033432006836,125.70676231544125,123.9874013614587,125.00798782759112,6107800
2023-02-03,125.90904998779297,125.91823940533622,124.61262660229272,125.36657973019332,3755700
2023-02-06,125.21028137207031,125.33901741605592,124.07936552969488,124.88848335104828,4841300
2023-02-07,124.89765167236328,125.4125396427416,123.61962116387244,124.74134739775877,3737600
2023-02-08,125.02637481689453,125.72516337997057,124.27243571893553,124.77813427651814,4593700
2023-02-09,124.48654174804688,126.32940395961508,124.10493473496254,125.64066507958016,3918800
2023-02-10,126.20844268798828,126.36666690035314,124.25388156682101,124.5144878227132,5049600
2023-02-13,127.83722686767578,127.87445024274204,126.44111597011242,126.58072137907897,4403000
2023-02-14,126.59001922607422,127.73484034728773,125.69651623612226,127.5579973674918,3202200
2023-02-15,126.95299530029297,126.99953516450753,125.71512296441567,125.83610956900642,2506700
2023-02-16,125.64995574951172,126.55277508624002,125.2683487717252,126.18048460184492,2965500
2023-02-17,125.66859436035156,126.1898068015221,124.61685298314926,125.18460529270442,3466200
2023-02-21,122.58784484863281,125.08222272113468,122.54130498044981,124.71923447246542,4257200
2023-02-22,121.89910125732422,122.848460674998,121.2661902448834,122.76468322492757,3200200
2023-02-23,121.73155212402344,122.57852944578819,119.93522965234273,122.39238417337177,3725600
2023-02-24,121.52678680419922,121.61985232757996,120.27028152179598,120.64257201926324,3015800
2023-02-27,121.45232391357422,122.73673605058686,121.11725679044659,122.3179056971703,2761300
2023-02-28,120.34474182128906,121.56400952627416,120.19581994230576,121.50816737214845,5143100
2023-03-01,119.3116226196289,120.5029692800587,118.89278514929936,119.97244039744402,3760700
2023-03-02,120.00037384033203,120.27029655641431,118.86487631953413,119.49778018572633,3340100
2023-03-03,120.66120147705078,120.91250539615335,119.8514617623544,120.39129297280978,2860300
2023-03-06,121.1731185913086,121.79671307674622,120.61466856155667,120.6612084310317,3131200
2023-03-07,119.36747741699219,121.38718273805647,119.31163525542873,121.25687962708373,3530400
2023-03-08,119.18132781982422,119.82354105844848,118.71595755438325,119.58153943115619,2778800
2023-03-09,117.42222595214844,119.6280764124989,117.25469237659138,119.4140100721122,5478300
2023-03-10,116.76139831542969,118.47396460759781,116.46356162561612,117.38499987618447,5990900
2023-03-13,116.88238525390625,119.31161835156499,116.2029416135363,116.48216658376745,8188400
2023-03-14,116.01680755615234,117.86897920775215,114.66722953786172,117.7293667091722,8114800
2023-03-15,114.74169158935547,114.80684314252224,113.280429238912,114.4717759830969,5989300
2023-03-16,116.0633316040039,116.17502301467589,113.47587428181824,114.44384520468377,6438700
2023-03-17,115.12329864501953,115.89580788962579,114.4159338526099,115.48628688432481,37400200
2023-03-20,117.21746063232422,117.42222467811523,115.58866476024215,115.70034907541073,4588300
2023-03-21,117.8038330078125,118.34366423965682,116.95686278632094,118.1109790984467,3856300
2023-03-22,115.45835876464844,118.4088043661746,115.42112829352992,118.2040403255159,3549000
2023-03-23,114.82545471191406,116.27740757749805,114.10878057114209,115.23497569136893,4651900
2023-03-24,116.61248779296875,116.71486982456032,114.36939959299166,114.81615819457186,3812300
2023-03-27,120.35405731201172,121.23825798723922,117.71075757904629,117.71075757904629,6524100
2023-03-28,120.38197326660156,120.6798170445508,119.87937964377848,120.23305137762694,2888900
2023-03-29,120.72634887695312,121.32202219124241,120.23304337730269,121.10794166434647,3279600
2023-03-30,120.2702865600586,122.37375494261242,120.15860224653424,121.14518488792652,3561800
2023-03-31,122.01077270507812,122.14107581123749,120.45643772375821,120.50297759066657,4524700
2023-04-03,122.91358947753906,123.42549959843059,121.71294046851452,121.89908573011877,3840100
2023-04-04,122.4854736328125,122.99736962209576,121.82464153101083,122.84846191352747,3382800
2023-04-05,122.98805236816406,123.42550155093942,122.27137818757863,122.27137818757863,2898700
2023-04-06,121.46163177490234,123.41619244977025,121.29410530664241,123.00666436917145,3050600
2023-04-10,121.9549331665039,122.00147303441246,120.28891383037835,120.83804734656748,2614400
2023-04-11,121.38716888427734,122.02007978103573,121.16378606154397,121.53609076609959,3132400
