Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,55.47999954223633,55.70000076293945,54.97999954223633,55.04999923706055,44.15255737304688,21682500
2020-01-28,55.36000061035156,55.63999938964844,55.08000183105469,55.29999923706055,44.353057861328125,14300100
2020-01-29,55.61000061035156,55.810001373291016,54.650001525878906,54.720001220703125,43.887882232666016,13745400
2020-01-30,54.150001525878906,55.220001220703125,54.0099983215332,55.15999984741211,44.24078369140625,24430500
2020-01-31,54.22999954223633,54.380001068115234,53.15999984741211,53.43999862670898,42.86125946044922,33430500
2020-02-03,53.369998931884766,53.45000076293945,52.54999923706055,52.7400016784668,42.299835205078125,21289200
2020-02-04,53.5,53.91999816894531,52.83000183105469,52.93000030517578,42.45221710205078,19819800
2020-02-05,53.810001373291016,55.11000061035156,53.77999877929688,54.91999816894531,44.04828643798828,34382000
2020-02-06,55.18000030517578,55.18000030517578,54.27000045776367,54.36000061035156,43.59914779663086,15400600
2020-02-07,53.95000076293945,54.209999084472656,53.70000076293945,53.97999954223633,43.29436111450195,13693300
2020-02-10,53.70000076293945,53.83000183105469,53.380001068115234,53.709999084472656,43.07781600952149,14640600
2020-02-11,54.43999862670898,54.52000045776367,54.06999969482422,54.310001373291016,43.559043884277344,13844600
2020-02-12,55.119998931884766,55.34999847412109,54.59000015258789,55.040000915527344,44.14453887939453,17199800
2020-02-13,54.88999938964844,55.18000030517578,54.54999923706055,54.869998931884766,44.008182525634766,11974900
2020-02-14,55.060001373291016,55.09999847412109,54.2400016784668,54.58000183105469,43.77560043334961,12520000
2020-02-18,54.09999847412109,54.56999969482422,53.630001068115234,54.130001068115234,43.414676666259766,16314700
2020-02-19,54.4900016784668,55.06999969482422,54.18999862670898,54.84999847412109,43.992149353027344,12455400
2020-02-20,54.9900016784668,55.400001525878906,54.650001525878906,54.790000915527344,43.94403076171875,13050800
2020-02-21,54.27000045776367,54.31999969482422,53.68999862670898,54.13999938964844,43.42269134521485,13808200
2020-02-24,52.09999847412109,52.400001525878906,51.47999954223633,51.63999938964844,41.417579650878906,33037500
